case,candidate,amplitude_peak_v,refined,observed_input_fundamental_peak_v,fundamental_peak_v,fundamental_gain_magnitude,output_inversion_phase_error_degrees,original_eight_cycle_thd_fraction,one_cycle_thd_fraction,thd_difference_from_original_fraction,second_harmonic_peak_v,third_harmonic_peak_v,second_harmonic_distortion_power_fraction,mean_output_v,independent_op_output_v,mean_shift_from_op_v,second_harmonic_in_phase_v,apparent_quasistatic_second_derivative_per_v,mean_shift_minus_in_phase_h2_v,output_endpoint_repeat_difference_v,gate_fundamental_peak_v,source_fundamental_peak_v,vgs_fundamental_peak_v,gate_over_input_fundamental,input_current_min_a,input_current_max_a,input_current_mean_a,zero_gate_current_divider_max_error_v,zero_gate_current_divider_mean_removed_max_error_v,exact_port_gate_max_error_v,exact_port_source_max_error_v
R75-10m,R75,0.01,False,0.009999968659250081,0.059982511329689146,5.9982699319967026,-0.023237718006374693,0.02087729585401895,0.020877296095261857,2.41242907594863e-10,0.001252259108023762,5.7976071773841365e-06,0.9999783729679861,0.4987471777517685,0.5000000000000068,-0.00125282224823825,-0.0012522586901324258,-50.090661580584595,-5.635581058242248e-07,1.5532522046335373e-08,0.009998844524347626,0.00164904342921663,0.008349801095205996,0.999887586157441,4.8286854857560446e-09,7.085683201331536e-09,5.931503524743819e-09,7.085683201346615e-06,1.1541796766011972e-06,1.1102230246251565e-16,1.1449174941446927e-16
R75-20m,R75,0.02,False,0.0199999244167246,0.11985532961474159,5.992789128468634,-0.02323347577806437,0.04155856813130364,0.04155856870995628,5.786526396933667e-10,0.004980760951731565,4.945125196848063e-05,0.9998976141444279,0.4950096746909297,0.5000000000000068,-0.004990325309077059,-0.004980759299136128,-49.80796945559715,-9.566009940931673e-06,7.648569000373584e-08,0.019997670692672033,0.0032950724552297203,0.01670259823759635,0.9998873133715104,3.855253892196095e-09,8.38529957988087e-09,6.01122973255832e-09,8.385299579916072e-06,2.374069847358551e-06,1.1102230246251565e-16,9.71445146547012e-17
F75L-10m,F75L,0.01,False,0.00999997006451832,0.05998045497577913,5.998063453069774,-0.06507763620929394,0.0032003991378570552,0.0032003991918555918,5.399853654497466e-11,0.0001917266338270953,9.471483422207161e-06,0.9975555268141785,0.49985549463141254,0.5000466277256138,-0.0001911330942012679,-0.00019172659082405895,-7.669109548591311,5.934966227910535e-07,2.6768069982807674e-09,0.0036364754333467176,0.0009068249694844263,0.0027296504752388133,0.3636486319343677,-1.085259176695032e-06,1.8726749726597587e-07,-4.507433370036155e-07,2.6545563433177932e-05,1.6761256004675931e-06,7.771561172376096e-16,7.979727989493313e-17
F75L-20m,F75L,0.02,False,0.01999991570672419,0.11977277618182715,5.9886640492968795,-0.06500843548834673,0.006712069519206735,0.006712069639024942,1.1981820657175346e-10,0.0007992366275380844,8.58929079200366e-05,0.9883746945002432,0.49925827979042564,0.5000466277256138,-0.0007883479351881717,-0.0007992363594177215,-7.992430964854014,1.088842422954984e-05,1.3657186936910648e-08,0.007289981192043901,0.0018160124148166091,0.005473968800386539,0.364500595849658,-1.7081352604975414e-06,8.322434726608869e-07,-4.453159862462308e-07,2.825723052185536e-05,3.418196946013585e-06,7.771561172376096e-16,9.020562075079397e-17
R75-20m-refined,R75,0.02,True,0.019999977328747393,0.11985564670469989,5.992789128436803,-0.02323338219982363,0.04155889795285512,0.04155889795287212,1.700029006457271e-14,0.004980813581517397,4.945242801459046e-05,0.9998976113553089,0.4950096746514508,0.5000000000000068,-0.0049903253485559795,-0.004980811928834729,-49.80823220978472,-9.513419721250867e-06,2.2748521844029312e-08,0.01999772359871265,0.0032950811726922278,0.01670264242617448,0.9998873133705256,3.855249122393637e-09,8.385306631632749e-09,6.011229749656771e-09,8.385306631608636e-06,2.374076881952958e-06,5.551115123125783e-17,1.1102230246251565e-16
F75L-20m-refined,F75L,0.02,True,0.019999975489674037,0.11977313420104406,5.9886640492576,-0.06500826864173709,0.006712130897433909,0.006712130896584422,-8.494862799302005e-13,0.0007992461677611817,8.589521850914497e-05,0.988374340685558,0.4992582797821019,0.5000466277256138,-0.0007883479435119023,-0.0007992458996378167,-7.9924785861917025,1.0897956125914391e-05,3.850308294417459e-09,0.007290002982856849,0.0018160178431332636,0.005473985162882844,0.36450059584426336,-1.7081389445041936e-06,8.322473410726379e-07,-4.453159861717665e-07,2.8257242315476994e-05,3.4182081453044693e-06,6.661338147750939e-16,6.938893903907228e-17
