candidate,input_step_v,slope_v_per_v,second_derivative_per_v,center_output_v,positive_output_v,negative_output_v,quadratic_input_peak_for_two_percent_thd_v
R75,0.0002,-5.999998344391188,-50.17782680749594,0.5000000000000061,0.4987989967745917,0.5011989961123482,0.009565975612949206
R75,0.0001,-5.99999903073023,-50.17806210538822,0.5000000000000061,0.49939974920662256,0.5005997490127686,0.009565931849864625
F75L,0.0001,-6.000870786923573,-7.57494876824083,0.5000466277265493,0.4994465027731131,0.5006466769304978,0.06337596169186699
