case,candidate,input_delta_v,input_v,output_v,gate_v,source_v
R75-center,R75,0.0,0.45,0.5000000000000061,0.4499940936281502,0.012027257763498332
R75-+200u,R75,0.0002,0.45020000000000004,0.4987989967745917,0.4501940711197513,0.012060275826236975
R75--200u,R75,-0.0002,0.44980000000000003,0.5011989961123482,0.4497941160957592,0.011994294880856871
R75-+100u,R75,0.0001,0.4501,0.49939974920662256,0.45009408237926973,0.012043759899274909
R75--100u,R75,-0.0001,0.4499,0.5005997490127686,0.44989410486718245,0.012010769422810727
F75L-center,F75L,0.0,0.45,0.5000466277265493,0.454524798767099,0.021415520521083652
F75L-+100u,F75L,0.0001,0.4501,0.4994465027731131,0.45456113463212094,0.021424585383768947
F75L--100u,F75L,-0.0001,0.4499,0.5006466769304978,0.45448845602051524,0.021406455675108196
