case_id,candidate,kind,refined,sequence,capacitance_f,ramp_time_s,state,origin_s,horizon_s,target_v,status,raw_time_s,resolved_entry_time_s,relative_bracket_start_s,relative_bracket_end_s,endpoint_error_v,time_outside_fixed_center_s,time_outside_original_swing_s
F75L-input_first-slow-1p,F75L,startup,False,input_first,1e-12,1e-06,both_on,3e-06,2e-05,0.5000466277256138,OBSERVED_FINAL_ENTRY,5.808562084319785e-08,5.808562084319785e-08,5.351267497202369e-08,5.808562084319785e-08,-3.3330005422271825e-12,0.0,0.0
F75L-input_first-slow-8p,F75L,startup,False,input_first,8e-12,1e-06,both_on,3e-06,2e-05,0.5000466277256138,OBSERVED_FINAL_ENTRY,7.242148473974287e-07,7.242148473974287e-07,7.142148473974288e-07,7.242148473974287e-07,-4.363509553684253e-12,2.69214847397433e-07,0.0
F75L-supply_first-fast-1p,F75L,startup,False,supply_first,1e-12,1e-08,both_on,2.01e-06,2e-05,0.5000466277256138,OBSERVED_FINAL_ENTRY,1.0273758353862269e-07,1.0273758353862269e-07,1.0073758353862254e-07,1.0273758353862269e-07,3.243516566442395e-12,4.654712979272571e-08,6.5303793110743765e-09
F75L-supply_first-fast-8p,F75L,startup,False,supply_first,8e-12,1e-08,both_on,2.01e-06,2e-05,0.5000466277256138,OBSERVED_FINAL_ENTRY,8.183523884056531e-07,8.183523884056531e-07,8.16352388405653e-07,8.183523884056531e-07,2.4913404672588513e-13,3.7135238840561955e-07,5.935238840559611e-08
F75L-supply_first-slow-1p,F75L,startup,False,supply_first,1e-12,1e-06,both_on,3e-06,2e-05,0.5000466277256138,OBSERVED_FINAL_ENTRY,7.143765410434289e-08,7.143765410434289e-08,6.681264554987977e-08,7.143765410434289e-08,-3.678723992095456e-12,1.0521072617649373e-08,0.0
F75L-supply_first-slow-8p,F75L,startup,False,supply_first,8e-12,1e-06,both_on,3e-06,2e-05,0.5000466277256138,OBSERVED_FINAL_ENTRY,7.376797336319469e-07,7.376797336319469e-07,7.27679733631947e-07,7.376797336319469e-07,-4.598432745694936e-12,2.926797336319512e-07,0.0
F75L-together-fast-1p,F75L,startup,False,together,1e-12,1e-08,both_on,2.01e-06,2e-05,0.5000466277256138,OBSERVED_FINAL_ENTRY,1.0714508283016646e-07,1.0714508283016646e-07,1.0514508283016631e-07,1.0714508283016646e-07,-6.633771310049497e-11,5.0929706408911494e-08,8.674527159949514e-09
F75L-together-fast-8p,F75L,startup,False,together,8e-12,1e-08,both_on,2.01e-06,2e-05,0.5000466277256138,OBSERVED_FINAL_ENTRY,8.721726628596669e-07,8.721726628596669e-07,8.701726628596667e-07,8.721726628596669e-07,-4.684364007800923e-12,4.2317266285963316e-07,9.517266285960852e-08
F75L-together-slow-1p,F75L,startup,False,together,1e-12,1e-06,both_on,3e-06,2e-05,0.5000466277256138,OBSERVED_FINAL_ENTRY,6.070378264338512e-08,6.070378264338512e-08,5.6080141478693515e-08,6.070378264338512e-08,-3.967381978497997e-12,4.973628655556493e-10,0.0
F75L-together-slow-8p,F75L,startup,False,together,8e-12,1e-06,both_on,3e-06,2e-05,0.5000466277256138,OBSERVED_FINAL_ENTRY,5.396166784183767e-07,5.396166784183767e-07,5.296166784183768e-07,5.396166784183767e-07,-5.356048937699143e-12,9.461667841838097e-08,0.0
A75-supply-cycle-1p,A75,cycle,False,cycle,1e-12,1e-06,input_only,3e-06,1.2e-05,1.1173249154255254e-05,IN_BAND_AT_FIRST_OBSERVATION,5.2852827416378565e-11,,0.0,5.2852827416378565e-11,1.6795247104964967e-14,9e-06,9e-06
A75-supply-cycle-1p,A75,cycle,False,cycle,1e-12,1e-06,both_on,1.3e-05,3e-05,0.49999999999186784,OBSERVED_FINAL_ENTRY,4.673896623308976e-07,4.673896623308976e-07,4.573896623308977e-07,4.673896623308976e-07,3.917866031599715e-12,1.6639199518392948e-07,0.0
A75-supply-cycle-8p,A75,cycle,False,cycle,8e-12,1e-06,input_only,3e-06,1.2e-05,1.1173249154255254e-05,IN_BAND_AT_FIRST_OBSERVATION,2.8013959611539906e-11,,0.0,2.8013959611539906e-11,4.180480289196764e-16,9e-06,9e-06
A75-supply-cycle-8p,A75,cycle,False,cycle,8e-12,1e-06,both_on,1.3e-05,3e-05,0.49999999999186784,OBSERVED_FINAL_ENTRY,4.2742118260047536e-06,4.2742118260047536e-06,4.264211826004752e-06,4.2742118260047536e-06,-1.9104884341203388e-11,1.9292118260044355e-06,2.592118260044515e-07
R75-supply-cycle-1p,R75,cycle,False,cycle,1e-12,1e-06,input_only,3e-06,1.2e-05,3.51341107045592e-06,IN_BAND_AT_FIRST_OBSERVATION,2.4806192599608455e-12,,0.0,2.4806192599608455e-12,9.921805130957972e-16,9e-06,9e-06
R75-supply-cycle-1p,R75,cycle,False,cycle,1e-12,1e-06,both_on,1.3e-05,3e-05,0.5000000000000068,OBSERVED_FINAL_ENTRY,1.2193199223264401e-08,1.2193199223264401e-08,1.0602376172237895e-08,1.2193199223264401e-08,1.1036727087798681e-12,0.0,0.0
R75-supply-cycle-8p,R75,cycle,False,cycle,8e-12,1e-06,input_only,3e-06,1.2e-05,3.51341107045592e-06,IN_BAND_AT_FIRST_OBSERVATION,9.71798383426456e-13,,0.0,9.71798383426456e-13,-1.7878849578123815e-15,9e-06,9e-06
R75-supply-cycle-8p,R75,cycle,False,cycle,8e-12,1e-06,both_on,1.3e-05,3e-05,0.5000000000000068,OBSERVED_FINAL_ENTRY,1.9570871880427404e-07,1.9570871880427404e-07,1.8570871880427414e-07,1.9570871880427404e-07,1.0479395129436853e-12,3.002102549514842e-08,0.0
F75L-supply-cycle-1p,F75L,cycle,False,cycle,1e-12,1e-06,input_only,3e-06,1.2e-05,0.01053226534605397,IN_BAND_AT_FIRST_OBSERVATION,1.175121741340968e-11,,0.0,1.175121741340968e-11,3.390343561449072e-14,9e-06,9e-06
F75L-supply-cycle-1p,F75L,cycle,False,cycle,1e-12,1e-06,both_on,1.3e-05,3e-05,0.5000466277256138,OBSERVED_FINAL_ENTRY,5.967729261971962e-08,5.967729261971962e-08,5.4992836003717795e-08,5.967729261971962e-08,-4.784617146924575e-12,0.0,0.0
F75L-supply-cycle-8p,F75L,cycle,False,cycle,8e-12,1e-06,input_only,3e-06,1.2e-05,0.01053226534605397,IN_BAND_AT_FIRST_OBSERVATION,1.6762479914921307e-11,,0.0,1.6762479914921307e-11,-7.965850201685498e-15,9e-06,9e-06
F75L-supply-cycle-8p,F75L,cycle,False,cycle,8e-12,1e-06,both_on,1.3e-05,3e-05,0.5000466277256138,OBSERVED_FINAL_ENTRY,7.244448333938683e-07,7.244448333938683e-07,7.144448333938684e-07,7.244448333938683e-07,-4.797828800917614e-12,2.6944483339387267e-07,0.0
R75-supply_first-fast-8p-refined,R75,startup,True,supply_first,8e-12,1e-08,both_on,2.01e-06,2e-05,0.5000000000000068,OBSERVED_FINAL_ENTRY,2.997364718207971e-07,2.997364718207971e-07,2.98736471820797e-07,2.997364718207971e-07,1.1642908859244017e-12,1.402364718207851e-07,2.6236471820776526e-08
R75-supply-cycle-8p-refined,R75,cycle,True,cycle,8e-12,1e-06,input_only,3e-06,1.2e-05,3.51341107045592e-06,IN_BAND_AT_FIRST_OBSERVATION,1.967239745940836e-13,,0.0,1.967239745940836e-13,-1.1426724333179952e-15,9e-06,9e-06
R75-supply-cycle-8p-refined,R75,cycle,True,cycle,8e-12,1e-06,both_on,1.3e-05,3e-05,0.5000000000000068,OBSERVED_FINAL_ENTRY,1.8836284237895265e-07,1.8836284237895265e-07,1.8336284237895185e-07,1.8836284237895265e-07,1.9496626535442374e-12,2.869818841753137e-08,0.0
F75L-supply_first-fast-8p-refined,F75L,startup,True,supply_first,8e-12,1e-08,both_on,2.01e-06,2e-05,0.5000466277256138,OBSERVED_FINAL_ENTRY,8.179832843163795e-07,8.179832843163795e-07,8.169832843163794e-07,8.179832843163795e-07,-6.751932346560352e-12,3.7048328431634586e-07,5.848328431632242e-08
F75L-supply-cycle-8p-refined,F75L,cycle,True,cycle,8e-12,1e-06,input_only,3e-06,1.2e-05,0.01053226534605397,IN_BAND_AT_FIRST_OBSERVATION,1.5692444245658853e-12,,0.0,1.5692444245658853e-12,-5.856252982550103e-14,9e-06,9e-06
F75L-supply-cycle-8p-refined,F75L,cycle,True,cycle,8e-12,1e-06,both_on,1.3e-05,3e-05,0.5000466277256138,OBSERVED_FINAL_ENTRY,7.268171954370582e-07,7.268171954370582e-07,7.218171954370574e-07,7.268171954370582e-07,-9.267475675756032e-12,2.7431719543698586e-07,0.0
