case,role,reference_units,total_current_uA,drawn_mos_area_um2,input_sd_mV,load_sd_mV,reference_sd_mV,total_sd_mV
A37,original finite design,2,37.499999999926615,3.0365110997308102,20.39657867728391,64.71268183278525,39.78898774220893,78.65694602054913
A75,original finite design,5,74.9891600644749,4.476511099730811,20.396584986629996,64.7144276529182,25.16577473825019,72.36915118845845
A37 with reference variance removed,restricted mathematical floor,,,,20.39657867728391,64.71268183278525,0,67.85095144307063
