case,input_difference_v,output_v,available_a,net_after_resistor_a,source_branch_a,sink_branch_a,source_PMOS_vsd_v,sink_NMOS_vds_v
C-sink-0p05,-0.09999999999999998,0.05,-7.752920263297535e-06,-7.802920263297535e-06,1.7337966466662686e-06,9.486716909963804e-06,0.6916092629236359,0.05
C-sink-0p25,-0.09999999999999998,0.25,-1.0448664554143949e-05,-1.0698664554143948e-05,1.7101100419679006e-06,1.2158774596111849e-05,0.491706178459693,0.25
C-sink-0p35,-0.09999999999999998,0.35000000000000003,-1.0578418655859e-05,-1.0928418655859e-05,1.697408183013056e-06,1.2275826838872056e-05,0.3917582268925746,0.35000000000000003
C-source-0p25,0.09999999999999998,0.25,1.0679205332557578e-05,1.0429205332557578e-05,1.2347360678238241e-05,1.6681553456806635e-06,0.4912083116698144,0.25
C-source-0p35,0.09999999999999998,0.35000000000000003,1.06340666008353e-05,1.02840666008353e-05,1.233219845765709e-05,1.69813185682179e-06,0.39153216052284207,0.35000000000000003
C-source-0p70,0.09999999999999998,0.7000000000000001,8.56226998925177e-06,7.86226998925177e-06,1.1313665523956235e-05,2.7513955347044643e-06,0.059045975899696734,0.7000000000000001
