output_v,reference_v,output_current_a,fractional_ratio_error
0.30000000000000004,0.5067169110671449,2.9869875866110313e-05,-0.004337471129656212
0.31000000000000005,0.5067169136267318,2.9896607903414876e-05,-0.0034464032195041794
0.32000000000000006,0.506716915976026,2.9922057543788578e-05,-0.002598081873714131
0.33000000000000007,0.5067169181277396,2.9946413608189867e-05,-0.0017862130603377713
0.3400000000000001,0.5067169200935162,2.9969830281108982e-05,-0.0010056572963672572
0.3500000000000001,0.5067169218845661,2.9992434471266036e-05,-0.00025218429113216256
0.3600000000000001,0.5067169235104321,3.0014331418892056e-05,0.00047771396306850455
0.3700000000000001,0.506716924981048,3.003560900888102e-05,0.0011869669627007085
0.3800000000000001,0.5067169263053349,3.0056341115877283e-05,0.00187803719590951
0.3900000000000001,0.5067169274919409,3.0076590222041412e-05,0.002553007401380425
0.40000000000000013,0.5067169285487687,3.009640948103031e-05,0.003213649367676874
0.41000000000000014,0.5067169294829101,3.0115844358098206e-05,0.0038614786032735715
0.42000000000000015,0.5067169303021329,3.0134933943237905e-05,0.004497798107930162
0.43000000000000016,0.5067169310125892,3.015371200786351e-05,0.005123733595450375
0.44000000000000017,0.5067169316212081,3.0172207863370025e-05,0.005740262112334138
0.4500000000000002,0.5067169321334473,3.0190447060030743e-05,0.006348235334358021
0.4600000000000002,0.5067169325560088,3.0208451962354646e-05,0.006948398745154849
0.4700000000000002,0.5067169328933503,3.022624222169704e-05,0.007541407389901389
0.4800000000000002,0.5067169331504034,3.0243835170510757e-05,0.008127839017025185
0.4900000000000002,0.5067169333302007,3.0261246149207676e-05,0.008708204973589151
0.5000000000000002,0.5067169334444714,3.027848878879699e-05,0.009282959626566445
0.5100000000000002,0.5067169335554086,3.0295575275346992e-05,0.009852509178233104
0.5200000000000002,0.506716933714916,3.031251649860319e-05,0.010417216620106196
0.5300000000000002,0.5067169339376911,3.0329322197241977e-05,0.010977406574732562
0.5400000000000003,0.506716934229282,3.0346001123673258e-05,0.011533370789108544
0.5500000000000003,0.5067169345965026,3.0362561172580445e-05,0.01208537241934815
0.5600000000000003,0.506716935044214,3.0379009485074e-05,0.012633649502466593
0.5700000000000003,0.5067169355782012,3.039535254076352e-05,0.013178418025450611
0.5800000000000003,0.5067169362042795,3.041159623637105e-05,0.013719874545701671
0.5900000000000003,0.5067169369277962,3.0427745954414163e-05,0.014258198480472162
0.6000000000000003,0.5067169377560075,3.0443806624477698e-05,0.014793554149256538
0.6100000000000003,0.5067169386944004,3.0459782774851324e-05,0.01532609249504402
0.6200000000000003,0.5067169397502355,3.0475678580800334e-05,0.01585595269334439
0.6300000000000003,0.5067169409301261,3.0491497905187434e-05,0.016383263506247747
0.6400000000000003,0.5067169422414312,3.0507244336017535e-05,0.016908144533917868
0.6500000000000004,0.5067169436920208,3.0522921219398375e-05,0.017430707313279115
0.6600000000000004,0.5067169452889541,3.053853168863973e-05,0.017951056287990985
0.6700000000000004,0.5067169470408147,3.0554078691805993e-05,0.018469289726866345
0.6800000000000004,0.5067169489565253,3.0569565015263226e-05,0.018985500508774233
0.6900000000000004,0.506716951044041,3.0584993304878776e-05,0.019499776829292603
0.7000000000000004,0.5067169533133973,3.0600366086882886e-05,0.020012202896096287
0.7100000000000004,0.5067169557733671,3.061568578441075e-05,0.02052285948035837
0.7200000000000004,0.5067169584346615,3.063095473499188e-05,0.0210318244997294
0.7300000000000004,0.5067169613072102,3.064617520424978e-05,0.021539173474992568
0.7400000000000004,0.5067169644016002,3.066134939992386e-05,0.022044979997462022
0.7500000000000004,0.5067169677293287,3.067647948421909e-05,0.022549316140636266
0.7600000000000005,0.5067169713021954,3.069156758473154e-05,0.02305225282438461
0.7700000000000005,0.5067169751318136,3.0706615804415e-05,0.02355386014716676
0.7800000000000005,0.5067169792312072,3.072162623144697e-05,0.024054207714898856
0.7900000000000005,0.5067169836134746,3.073660094709068e-05,0.024553364903022512
0.8000000000000005,0.5067169882916346,3.075154203322531e-05,0.02505140110751025
