candidate,out_v,gain,bandwidth_hz,current_a,power_w,area_um2,internal_resistance_ohm,input_noise_v,sine_thd_fraction,source_v,gate_v,input_current_a,supply_current_a,feedback_current_a,input_drain_a,reference_drain_a,load_drain_a
A75,0.4999999999931346,-6.00000180105283,1747488.9012599294,7.49891600644749e-05,7.498894904273641e-05,4.476511099730811,15150.015244579681,3.820696101615889e-05,0.004602590869643026,0.05217512276991066,0.4499996163241119,3.836758881523711e-10,7.498877638858674e-05,0.0,7.505042279016493e-06,6.247292946129568e-05,1.2505042278947788e-05
R75,0.5000000000000061,-5.999999999999706,25185642.222723454,7.49999999999977e-05,7.499675149548029e-05,9.281973044334817,6839.00973241154,7.091664998025675e-06,0.010449892075404242,0.012027257763498332,0.4499940936281502,5.906371849831275e-09,7.499409362814787e-05,0.0,6.999409362814832e-05,0,0
F75S,0.49999999998970773,-6.000000000028347,9308995.884410776,7.499999999995261e-05,7.479657655005372e-05,5.531239355966221,120453.8041228496,2.3537337773622035e-05,0.0017398945436822857,0.019208883049731937,0.4545205211088644,-4.520521108864221e-07,7.499999999995261e-05,4.547947888084336e-07,3.1932225619160255e-05,3.760316095829092e-05,3.7387020407865745e-05
F75L,0.5000466277265493,-6.00087149215358,9031819.5758461,7.499737786299414e-05,7.479376191847468e-05,7.466666666666418,120401.39067666279,2.0458253074846757e-05,0.0015833127309355698,0.021415520521083652,0.454524798767099,-4.5247987670989044e-07,7.499737786299414e-05,4.5521828959450284e-07,3.19432785254313e-05,3.756931795332295e-05,3.739896309229131e-05
