candidate,resistor,gain,input_current_a,out_v,total_current_a,step_log,refinement_absolute_v,refinement_relative
F75L,Rsrc,0.37859236014803344,2.8805162899034342e-08,-0.002715273127340545,5.227539240241011e-09,0.0005,1.4596657216259246e-09,-5.37575731263118e-07
F75L,Rin,3.4073310620454933,2.5924664959252677e-07,-0.02443746198399488,4.704616068192027e-08,0.0005,1.8596235662471372e-10,-7.609724628210301e-09
F75L,Rf,-4.898580227620464,9.358122978787853e-08,0.035222975745208274,-6.78101549792063e-08,0.0005,5.353106846683886e-09,1.519777232950048e-07
F75L,Rs,0.9733536514620056,-1.622914750395825e-06,0.17850309768163708,-3.4364815503049474e-07,0.0005,2.9332092310596636e-09,1.6432259775100988e-08
F75L,Rbias,0.36475584986828125,4.492521215497883e-06,-0.49438335372636866,-5.629835727736143e-05,0.0005,-2.1268015126807427e-08,4.3019280138167915e-08
F75L,Rload,-1.1371791837788692,-7.891669990558146e-07,0.08684456054286471,-1.671901664964011e-07,0.0005,-3.1573910153070983e-09,-3.6356806676351994e-08
F75S,Rsrc,0.37815413447805923,2.8774393241379204e-08,-0.002712321488962388,6.89775793178294e-09,0.0005,-6.928346785173289e-09,2.5544038606550856e-06
F75S,Rin,3.4033871948961902,2.589700067345997e-07,-0.02441079887982589,6.208026116555267e-08,0.0005,7.467304552477572e-09,-3.0590159316723486e-07
F75S,Rf,-4.8637375271605165,9.54865069934148e-08,0.03497092484122666,-8.893606700697762e-08,0.0005,-1.33854038963932e-09,-3.827580608017911e-08
F75S,Rs,0.9113942404290754,-1.4549760740298866e-06,0.16003077991399994,-4.069820795611157e-07,0.0005,-1.36065048117473e-08,-8.502429138523837e-08
F75S,Rbias,0.31376781545144894,4.380986035100801e-06,-0.48211228906341885,-5.623841324003801e-05,0.0005,-3.2601865651571416e-08,6.762297610762857e-08
F75S,Rload,-1.1068812711059195,-7.675779678745567e-07,0.08446930443017919,-2.148180537262217e-07,0.0005,6.798228646687221e-09,8.048165245355676e-08
