candidate,vector,value
R75,@m.xn5.mapm045_vtg_core[gm],0.000205195403240744
R75,@m.xn5.mapm045_vtg_core[gmbs],4.695844335421649e-05
R75,@m.xn5.mapm045_vtg_core[vdsat],0.08211022948366906
R75,@m.xn5.mapm045_vtg_core[vth],0.4131726216556173
R75,i(Vdd),-7.499409362814787e-05
R75,i(Vin),-5.906371849831275e-09
R75,i(Vn0b),-3.090559244465645e-12
R75,i(Vn0d),1.1665682271358062e-05
R75,i(Vn0g),9.843953430177521e-10
R75,i(Vn0s),-1.1666663576141165e-05
R75,i(Vn1b),-3.09055924446565e-12
R75,i(Vn1d),1.1665682271358048e-05
R75,i(Vn1g),9.843953430177521e-10
R75,i(Vn1s),-1.1666663576141165e-05
R75,i(Vn2b),-3.09055924446565e-12
R75,i(Vn2d),1.1665682271358048e-05
R75,i(Vn2g),9.843953430177521e-10
R75,i(Vn2s),-1.1666663576141165e-05
R75,i(Vn3b),-3.090559244465645e-12
R75,i(Vn3d),1.166568227135806e-05
R75,i(Vn3g),9.843953430177521e-10
R75,i(Vn3s),-1.1666663576141172e-05
R75,i(Vn4b),-3.090559244465645e-12
R75,i(Vn4d),1.1665682271358053e-05
R75,i(Vn4g),9.843953430177521e-10
R75,i(Vn4s),-1.1666663576141172e-05
R75,i(Vn5b),-3.090559244465645e-12
R75,i(Vn5d),1.1665682271358053e-05
R75,i(Vn5g),9.843953430177521e-10
R75,i(Vn5s),-1.1666663576141172e-05
R75,v(gate),0.4499940936281502
R75,v(in),0.45
R75,v(out),0.5000000000000061
R75,v(source),0.012027257763498332
R75,v(vdd),1.0
F75S,@m.xn0.mapm045_vtg_core[gds],5.372529852097047e-07
F75S,@m.xn0.mapm045_vtg_core[gm],0.0001900068300899123
F75S,@m.xn0.mapm045_vtg_core[gmbs],4.32825572040345e-05
F75S,@m.xn0.mapm045_vtg_core[vdsat],0.0801849977213202
F75S,@m.xn0.mapm045_vtg_core[vth],0.4146736651578896
F75S,@m.xn1.mapm045_vtg_core[gds],5.37252985209706e-07
F75S,@m.xn1.mapm045_vtg_core[gm],0.00019000683008991255
F75S,@m.xn1.mapm045_vtg_core[gmbs],4.3282557204034564e-05
F75S,@m.xn1.mapm045_vtg_core[vdsat],0.0801849977213202
F75S,@m.xn1.mapm045_vtg_core[vth],0.4146736651578896
F75S,@m.xn2.mapm045_vtg_core[gds],5.37252985209706e-07
F75S,@m.xn2.mapm045_vtg_core[gm],0.00019000683008991255
F75S,@m.xn2.mapm045_vtg_core[gmbs],4.3282557204034564e-05
F75S,@m.xn2.mapm045_vtg_core[vdsat],0.0801849977213202
F75S,@m.xn2.mapm045_vtg_core[vth],0.4146736651578896
F75S,@m.xp0.mapm045_vtg_core[gds],2.5430021133404636e-06
F75S,@m.xp0.mapm045_vtg_core[gm],0.0003027558826067045
F75S,@m.xp0.mapm045_vtg_core[gmbs],6.58429527579161e-05
F75S,@m.xp0.mapm045_vtg_core[vdsat],0.2080695260514294
F75S,@m.xp0.mapm045_vtg_core[vth],0.38393602661439397
F75S,@m.xr0.mapm045_vtg_core[gds],2.2038346618113155e-06
F75S,@m.xr0.mapm045_vtg_core[gm],0.000304602005639718
F75S,@m.xr0.mapm045_vtg_core[gmbs],6.623619187556807e-05
F75S,@m.xr0.mapm045_vtg_core[vdsat],0.20811438223496156
F75S,@m.xr0.mapm045_vtg_core[vth],0.3838768409017217
F75S,@rbias[resistance],10852.303963476139
F75S,@rf[resistance],100000.0
F75S,@rin[resistance],9000.0
F75S,@rload[resistance],100000.0
F75S,@rs[resistance],601.5001593734584
F75S,@rsrc[resistance],1000.0
F75S,i(Vbiasdiag),-4.912134036950033e-09
F75S,i(Vdd),-7.499999999995261e-05
F75S,i(Vin),4.520521108864221e-07
F75S,i(Vn0b),-3.031640707345161e-12
F75S,i(Vn0d),1.0644075206386744e-05
F75S,i(Vn0g),9.142260282146708e-10
F75S,i(Vn0s),-1.0644986400746482e-05
F75S,i(Vn1b),-3.0316407073451593e-12
F75S,i(Vn1d),1.0644075206386757e-05
F75S,i(Vn1g),9.142259727035196e-10
F75S,i(Vn1s),-1.0644986400746494e-05
F75S,i(Vn2b),-3.0316407073451593e-12
F75S,i(Vn2d),1.0644075206386757e-05
F75S,i(Vn2g),9.142259727035196e-10
F75S,i(Vn2s),-1.0644986400746494e-05
F75S,i(Vp0b),3.770483925080725e-12
F75S,i(Vp0d),-3.7387020407865745e-05
F75S,i(Vp0g),-4.912134036950033e-09
F75S,i(Vp0s),3.739192877136207e-05
F75S,i(Vr0b),3.867212106101192e-12
F75S,i(Vr0d),-3.760316095829092e-05
F75S,i(Vr0g),-4.906499817547427e-09
F75S,i(Vr0s),3.760806359089451e-05
F75S,v(drive),0.45045205211088646
F75S,v(gate),0.4545205211088644
F75S,v(in),0.45
F75S,v(out),0.49999999998970773
F75S,v(pbias),0.4081874875059868
F75S,v(pdrive),0.4081874875059868
F75S,v(source),0.019208883049731937
F75S,v(vdd),1.0
F75L,@m.xn0.mapm045_vtg_core[gds],5.411560679038464e-07
F75L,@m.xn0.mapm045_vtg_core[gm],0.00019183330465309827
F75L,@m.xn0.mapm045_vtg_core[gmbs],4.361804281278542e-05
F75L,@m.xn0.mapm045_vtg_core[vdsat],0.0789692613013648
F75L,@m.xn0.mapm045_vtg_core[vth],0.4151337022929968
F75L,@m.xn1.mapm045_vtg_core[gds],5.411560679038447e-07
F75L,@m.xn1.mapm045_vtg_core[gm],0.000191833304653098
F75L,@m.xn1.mapm045_vtg_core[gmbs],4.361804281278534e-05
F75L,@m.xn1.mapm045_vtg_core[vdsat],0.0789692613013648
F75L,@m.xn1.mapm045_vtg_core[vth],0.4151337022929968
F75L,@m.xn2.mapm045_vtg_core[gds],5.411560679038447e-07
F75L,@m.xn2.mapm045_vtg_core[gm],0.000191833304653098
F75L,@m.xn2.mapm045_vtg_core[gmbs],4.361804281278534e-05
F75L,@m.xn2.mapm045_vtg_core[vdsat],0.0789692613013648
F75L,@m.xn2.mapm045_vtg_core[vth],0.4151337022929968
F75L,@m.xp0.mapm045_vtg_core[gds],1.924822343768804e-06
F75L,@m.xp0.mapm045_vtg_core[gm],0.0003009971612330459
F75L,@m.xp0.mapm045_vtg_core[gmbs],6.557664427943222e-05
F75L,@m.xp0.mapm045_vtg_core[vdsat],0.21434307025717222
F75L,@m.xp0.mapm045_vtg_core[vth],0.38421030108239523
F75L,@m.xr0.mapm045_vtg_core[gds],1.6393344182782309e-06
F75L,@m.xr0.mapm045_vtg_core[gm],0.0003024869367579773
F75L,@m.xr0.mapm045_vtg_core[gmbs],6.589276551208602e-05
F75L,@m.xr0.mapm045_vtg_core[vdsat],0.21435017973961498
F75L,@m.xr0.mapm045_vtg_core[vth],0.384201300157011
F75L,@rbias[resistance],10731.024577367358
F75L,@rf[resistance],100000.0
F75L,@rin[resistance],9000.0
F75L,@rload[resistance],100000.0
F75L,@rs[resistance],670.3660992954377
F75L,@rsrc[resistance],1000.0
F75L,i(Vbiasdiag),-1.4556453979035558e-08
F75L,i(Vdd),-7.499737786299414e-05
F75L,i(Vin),4.5247987670989044e-07
F75L,i(Vn0b),-3.1037027312809586e-12
F75L,i(Vn0d),1.0647759508477108e-05
F75L,i(Vn0g),9.128042766093358e-10
F75L,i(Vn0s),-1.0648669209054376e-05
F75L,i(Vn1b),-3.1037027312809554e-12
F75L,i(Vn1d),1.0647759508477095e-05
F75L,i(Vn1g),9.128043321204871e-10
F75L,i(Vn1s),-1.0648669209054344e-05
F75L,i(Vn2b),-3.1037027312809554e-12
F75L,i(Vn2d),1.0647759508477095e-05
F75L,i(Vn2g),9.128043321204871e-10
F75L,i(Vn2s),-1.0648669209054344e-05
F75L,i(Vp0b),1.0914047443577601e-11
F75L,i(Vp0d),-3.739896309229131e-05
F75L,i(Vp0g),-1.4556453979035558e-08
F75L,i(Vp0s),3.741350863230533e-05
F75L,i(Vr0b),1.1013218115252243e-11
F75L,i(Vr0d),-3.756931795332295e-05
F75L,i(Vr0g),-1.4540363302284476e-08
F75L,i(Vr0s),3.758384730342325e-05
F75L,v(drive),0.45045247987670994
F75L,v(gate),0.454524798767099
F75L,v(in),0.45
F75L,v(out),0.5000466277265493
F75L,v(pbias),0.40346951297340633
F75L,v(pdrive),0.40346951297340633
F75L,v(source),0.021415520521083652
F75L,v(vdd),1.0
