candidate,role,variance_v2
A75,input,0.0004160206791168202
A75,load,0.004187957146444784
A75,reference,0.0006333162181763513
R75,input,8.724012767680183e-05
F75S,input,0.00022540894557350702
F75S,load,0.0004860330887362765
F75S,reference,0.00028330028367993816
F75L,input,0.00021499041487031592
F75L,load,0.0002226398818469088
F75L,reference,0.0001290105433685842
