candidate,condition,out_v,gain,bandwidth_hz,current_a,power_w,numerical_usable,terminal_supported,all_assessed_pass
F75S,supply_097,0.46307058666692985,-5.957344822218475,9130629.272709537,7.080493038361353e-05,6.862837063406807e-05,True,True,False
F75S,hot_85,0.5486405357398492,-5.275353463292141,7968596.133963585,6.547140953022716e-05,6.506934369306433e-05,True,True,False
F75S,cload_2p,0.49999999998970773,-5.99999979383146,4682948.17307064,7.499999999995261e-05,7.479657655005372e-05,True,True,True
F75S,rload_80k,0.4796400439269897,-5.731674216237818,9604181.239483304,7.505076006494849e-05,7.493059231083145e-05,True,True,True
F75L,supply_097,0.4620876745532049,-5.956643575407552,8867323.238982713,7.076732886014556e-05,6.859591556742231e-05,True,True,False
F75L,hot_85,0.5388396533621289,-5.309846704526049,7764393.3778421655,6.508104004436243e-05,6.471906274410179e-05,True,True,False
F75L,cload_2p,0.5000466277265493,-6.000871273852196,4549361.267870679,7.499737786299414e-05,7.479376191847468e-05,True,True,True
F75L,rload_80k,0.47914270674820647,-5.725690709509022,9333194.488007797,7.50367306444455e-05,7.491859527888386e-05,True,True,True
