candidate,kind,refined,amplitude_peak_v,capacitance_f,numerical_usable,terminal_supported,out_v,gain,bandwidth_hz,current_a,thd_fraction,sine_gain,sine_min_v,sine_max_v,sine_stationary,all_assessed_pass,dc_at_low_input_v,dc_at_high_input_v,settling_band_v,input_rise_settling_s,input_fall_settling_s,excursion_outside_dc_interval_v,capacitor_current_min_a,capacitor_current_max_a,transient_kcl_max_a,Vdd_min_delivered_current_a,Vdd_max_delivered_current_a,Vdd_average_positive_delivery_a,Vdd_average_absorption_a,Vin_min_delivered_current_a,Vin_max_delivered_current_a,Vin_average_positive_delivery_a,Vin_average_absorption_a
F75S,step,False,,1e-12,True,True,,,,,,,,,,,0.6179053959331878,0.3786012705167128,0.0023930412541647507,7.245001733415831e-08,7.773207704551734e-08,4.26825852439805e-08,-1.094588185934428e-05,9.789292510057473e-06,2.4423771517604123e-17,7.464356825758763e-05,7.528026922429861e-05,7.49167261428757e-05,0.0,-1.7060816976850485e-06,8.337250186404984e-07,3.5531058431836006e-07,9.726930952010842e-07
F75S,step,False,,8e-12,True,True,,,,,,,,,,,0.6179053959331878,0.3786012705167128,0.0023930412541647507,5.98236126690525e-07,6.389886412482297e-07,5.710575678996577e-09,-1.453871615007124e-05,1.2467917846255977e-05,4.554508862880582e-16,7.464357070005332e-05,7.528026654105984e-05,7.491878172437877e-05,0.0,-1.706081690906725e-06,8.337250179480185e-07,3.4266524261722876e-07,9.581679293857481e-07
F75L,sine,False,0.01,1e-12,True,True,0.5000466277256138,-6.000871492157971,9031819.57583901,7.499737786299599e-05,0.0032003991378570552,5.9980634530592765,0.43969207452993275,0.5596342453414445,True,True,,,,,,,-3.770807664645951e-09,3.770727509240526e-09,2.585965118187777e-19,7.487307482129894e-05,7.510692055259163e-05,7.499372295811467e-05,0.0,-1.085261318573721e-06,1.8726967468591944e-07,3.081549865426135e-08,4.815587900346634e-07
F75L,sine,False,0.02,1e-12,True,True,0.5000466277256138,-6.000871492157971,9031819.57583901,7.499737786299599e-05,0.006712069519206735,5.9886640492910805,0.37876290089681375,0.6181317566337323,True,True,,,,,,,-7.543456343825513e-09,7.543147190694493e-09,3.2324894849592237e-19,7.472038670841052e-05,7.520766386048178e-05,7.498136224984616e-05,0.0,-1.7081403783208429e-06,8.32248776965101e-07,2.0781174551017717e-07,6.531274568600671e-07
F75L,capacitance,False,,2e-13,True,True,0.5000466277256138,-6.00087156390913,42237714.05360564,7.499737786299599e-05,,,,,,True,,,,,,,,,,,,,,,,,
F75L,capacitance,False,,8e-12,True,True,0.5000466277256138,-6.000866962870938,1143451.212889653,7.499737786299599e-05,,,,,,True,,,,,,,,,,,,,,,,,
F75L,capacitance,False,,1.6e-11,True,True,0.5000466277256138,-6.000853211882157,572227.3218319565,7.499737786299599e-05,,,,,,False,,,,,,,,,,,,,,,,,
F75L,step,False,,1e-12,True,True,,,,,,,,,,,0.6181318653725352,0.378762787265835,0.002393690781067002,7.56185838415081e-08,7.893269898778105e-08,7.750211761248238e-08,-1.0676141428354533e-05,9.596724293951808e-06,1.4184096097365293e-17,7.472038204893325e-05,7.520766857066529e-05,7.49294657096895e-05,0.0,-1.7081418038613553e-06,8.322502558330731e-07,3.5461881471360347e-07,9.738121299812542e-07
F75L,step,False,,8e-12,True,True,,,,,,,,,,,0.6181318653725352,0.378762787265835,0.002393690781067002,6.159442899675763e-07,6.55808225337254e-07,9.248979249143474e-09,-1.4101100797234145e-05,1.2190047960190104e-05,2.9226257746122874e-16,7.47203858109946e-05,7.520766461010492e-05,7.493121549022608e-05,0.0,-1.7081418013157029e-06,8.322502557719783e-07,3.415951429344258e-07,9.589438224882653e-07
R75,sine,True,0.02,1e-12,True,True,0.5000000000000068,-5.999999999999699,25185875.44696496,7.499999999999766e-05,0.04155889795285512,5.992789128436764,0.3702335307468718,0.6098440330896941,True,False,,,,,,,-7.64095017137111e-09,7.640956578419802e-09,1.111307226797642e-18,5.8518786224104794e-05,9.445753111807557e-05,7.574261309994743e-05,0.0,3.85524370083044e-09,8.385319081672185e-09,6.0112259719729025e-09,0.0
R75,step,True,,8e-12,True,True,,,,,,,,,,,0.6098441572860669,0.370233357312817,0.0023961079997324992,2.2197083185836065e-07,2.2385575617493486e-07,6.988185435874428e-08,-3.5364771765633574e-05,3.4772704318175585e-05,1.623327123764784e-14,5.8518760595788904e-05,9.445756761258772e-05,7.392070912052698e-05,0.0,-4.3811437348416533e-07,4.804922303764357e-07,6.1969813299900045e-09,4.0018405705951675e-10
F75L,sine,True,0.02,1e-12,True,True,0.5000466277256138,-6.000871492157971,9032253.193085466,7.499737786299599e-05,0.006712130897433909,5.988664049255182,0.3787628655060081,0.6181317880398192,True,True,,,,,,,-7.543442786660004e-09,7.543126782817987e-09,4.919143841179349e-19,7.472038659828429e-05,7.520766393002863e-05,7.498136241016109e-05,0.0,-1.7081408413492758e-06,8.322492809566978e-07,2.0780929766845987e-07,6.531250704860487e-07
F75L,step,True,,8e-12,True,True,,,,,,,,,,,0.6181318653725352,0.378762787265835,0.002393690781067002,6.156175626319942e-07,6.555846351675867e-07,9.50071066263547e-09,-1.4099515634982684e-05,1.2188982920199876e-05,1.2165692817023548e-15,7.472038574425269e-05,7.52076646727431e-05,7.49312153540095e-05,0.0,-1.7081418013736535e-06,8.322502556832906e-07,3.4159465534907967e-07,9.58944104508019e-07
