candidate,uid,sigma_vth,sigma_beta,j00,j01,j10,j11,sensitivity_delvto,sensitivity_ln_mulu0
A75,ads/gain/input/0,0.0048093841035844,0.007457812380660055,1.0148124177925544,-0.0042183018735098,-1.7561513962193742,0.9242180515411813,3.285873368258363,-0.14467547907925926
A75,ads/gain/input/1,0.0048093841035844,0.007457812380660055,1.0148124177925544,-0.0042183018735098,-1.7561513962193742,0.9242180515411813,3.285873390244387,-0.1446754841692155
A75,ads/gain/reference/0,0.004229466460764283,0.008332512287204358,-1.0242043729650763,-0.002840021436723017,1.3653256535209324,0.9474055577937901,-2.958977342553959,-0.18862221349869035
A75,ads/gain/reference/1,0.004229466460764283,0.008332512287204358,-1.0242043729650763,-0.002840021436723017,1.3653256535209324,0.9474055577937901,-2.9589773818025633,-0.1886222106592672
A75,ads/gain/reference/2,0.004229466460764283,0.008332512287204358,-1.0242043729650763,-0.002840021436723017,1.3653256535209324,0.9474055577937901,-2.958977342390201,-0.18862221348542318
A75,ads/gain/reference/3,0.004229466460764283,0.008332512287204358,-1.0242043729650763,-0.002840021436723017,1.3653256535209324,0.9474055577937901,-2.9589773642060835,-0.18862221230558918
A75,ads/gain/reference/4,0.004229466460764283,0.008332512287204358,-1.0242043729650763,-0.002840021436723017,1.3653256535209324,0.9474055577937901,-2.9589773531513153,-0.18862220836934895
A75,ads/gain/load/0,0.004229466460764283,0.008332512287204358,-1.0242043729650763,-0.002840021436723017,1.3653256535209324,0.9474055577937901,17.014661088442516,1.0847990733032498
R75,ads/gain/input/0,0.0038110191670765264,0.005630903525489616,1.0135382435464968,-0.0034406929960734134,-1.7834059116945689,0.9391532347269749,1.1095373467701064,-0.055479505336408774
R75,ads/gain/input/1,0.0038110191670765264,0.005630903525489616,1.0135382435464968,-0.0034406929960734134,-1.7834059116945689,0.9391532347269749,1.1095373467695513,-0.05547950533604795
R75,ads/gain/input/2,0.0038110191670765264,0.005630903525489616,1.0135382435464968,-0.0034406929960734134,-1.7834059116945689,0.9391532347269749,1.1095373467806535,-0.05547950578660421
R75,ads/gain/input/3,0.0038110191670765264,0.005630903525489616,1.0135382435464968,-0.0034406929960734134,-1.7834059116945689,0.9391532347269749,1.1095373467812086,-0.05547950578643768
R75,ads/gain/input/4,0.0038110191670765264,0.005630903525489616,1.0135382435464968,-0.0034406929960734134,-1.7834059116945689,0.9391532347269749,1.1095373467762126,-0.055479505786631966
R75,ads/gain/input/5,0.0038110191670765264,0.005630903525489616,1.0135382435464968,-0.0034406929960734134,-1.7834059116945689,0.9391532347269749,1.1095373467620573,-0.055479505786826255
F75S,ads/gain/input/0,0.0038399830340463148,0.005673698571508004,1.0135380308458897,-0.003440565150433783,-1.7834091799426854,0.9391550606422827,2.500247473581907,-0.12349578049991594
F75S,ads/gain/input/1,0.0038399830340463148,0.005673698571508004,1.0135380308458897,-0.003440565150433783,-1.7834091799426854,0.9391550606422827,2.5002476359717307,-0.12349577920059418
F75S,ads/gain/input/2,0.0038399830340463148,0.005673698571508004,1.0135380308458897,-0.003440565150433783,-1.7834091799426854,0.9391550606422827,2.5002476251975714,-0.12349578325318578
F75S,ads/gain/reference/0,0.004229466460764283,0.008332512287204358,-1.0242043729650763,-0.002840021436723017,1.3653256535209324,0.9474055577937901,-4.599818340727535,-0.4499432158359684
F75S,ads/gain/load/0,0.004229466460764283,0.008332512287204358,-1.0242043729650763,-0.002840021436723017,1.3653256535209324,0.9474055577937901,6.0250371498205,0.5894837556543187
F75L,ads/gain/input/0,0.0037473621673260737,0.005536848258747969,1.0135387053957223,-0.003440970574969393,-1.783398816097237,0.9391492703172077,2.5002458819006756,-0.12252291566983153
F75L,ads/gain/input/1,0.0037473621673260737,0.005536848258747969,1.0135387053957223,-0.003440970574969393,-1.783398816097237,0.9391492703172077,2.5002460714473873,-0.12252291051098596
F75L,ads/gain/input/2,0.0037473621673260737,0.005536848258747969,1.0135387053957223,-0.003440970574969393,-1.783398816097237,0.9391492703172077,2.5002459980283387,-0.12252291452316544
F75L,ads/gain/reference/0,0.0028155607215278843,0.0049162732295324335,-1.023246448463383,-0.001688878816330508,1.3943844715992304,0.969593297027388,-4.710033403324543,-0.47485345904263454
F75L,ads/gain/load/0,0.0028155607215278843,0.0049162732295324335,-1.023246448463383,-0.001688878816330508,1.3943844715992304,0.969593297027388,6.1878947712901144,0.6242142962300523
