case,input_common_mode_v,input_difference_v,output_v,tail_v,tail_vsd_v,p2_vsg_v,p2_vsd_v,tail_delivered_a,source_branch_a,sink_branch_a,net_after_resistor_a,supply_delivered_a
C-high-common-mode,0.7000000000000001,0.10000000000000009,0.7000000000000001,0.9921232429879159,0.007876757012084123,0.34212324298791585,0.2921232429879158,1.8094562623291184e-06,1.647974021446265e-06,1.688779901973359e-07,7.79096031248929e-07,3.8194684494823e-06
D1-high-command,0.6817466848496605,0.03650411356050964,0.6634946280694057,0.9923013709279981,0.007698629072001917,0.32880674285859235,0.32880674285859235,1.770196445018308e-06,1.2260419883426062e-06,5.62699970227867e-07,-1.526099546665348e-10,3.780208663446745e-06
