condition,left,mean_mae_reduction_v,meaningful_reduction_v,n_pairs,paired_sd_v,right,ci_low_v,ci_high_v
nominal,R37,0.00490185601240445,0.003,464,0.007659507965817805,R75,0.004010228406213865,0.005793483618595036
nominal,A37,0.006128528081137164,0.005,464,0.02736110370709295,A75,0.0029434781392923817,0.009313578022981946
nominal,A37,0.050309694819382335,0.02,464,0.04518543602756984,R37,0.045049750924848066,0.055569638713916604
nominal,A75,0.049083022750649616,0.02,464,0.0428087341150227,R75,0.044099745849135015,0.05406629965216422
supply_097,R37,-0.0018007556921029839,0.003,464,0.010327222185264997,R75,-0.0030029264368478126,-0.0005985849473581553
supply_097,A37,0.001534034627867642,0.005,464,0.02705881610126582,A75,-0.0016158266340296095,0.004683895889764894
supply_097,A37,0.051475510425050344,0.02,464,0.05453539289775206,R37,0.04512715723590473,0.05782386361419596
supply_097,A75,0.04814072010507972,0.02,464,0.05148679495497107,R75,0.04214724794720791,0.05413419226295153
