candidate,role,variance_mV2
R37,input,229.15062732012328
A37,input,416.02042173863265
A37,load,4187.731189991295
A37,reference,1583.1635455496526
R75,input,87.24012767680183
A75,input,416.0206791168202
A75,load,4187.9571464447845
A75,reference,633.3162181763513
