candidate,reference_units,rbias_ohm,reference_conductance_s,rbias_times_reference_conductance,pbias_tracking_v_per_v,load_vsg_supply_fraction,load_gm_s,load_gds_s,effective_input_gm_s,injection_ohm_estimate,input_v_per_v_estimate,bias_gate_drop_v_per_v_estimate,direct_supply_injection_a_per_v,reference_supply_injection_a_per_v,total_supply_injection_a_per_v,direct_supply_path_v_per_v,reference_supply_path_v_per_v,supply_v_per_v_estimate,matrix_reduced_max_relative_difference,injection_ohm_observed,injection_ohm_relative_discrepancy,input_v_per_v_observed,input_v_per_v_relative_discrepancy,supply_v_per_v_observed,supply_v_per_v_relative_discrepancy,bias_gate_drop_v_per_v_observed,bias_gate_drop_v_per_v_relative_discrepancy,nominal_out_v,area_um2,current_a,internal_resistance_ohm,input_noise_v,supply_097_local_out_estimate_v,supply_097_nominal_device_observed_v,supply_097_extrapolation_residual_v
A75,5,8198.35869363817,0.0008461354617316021,6.936922018682828,0.8740065736256339,0.12599342637436609,0.00016850135947285203,8.468620564011871e-07,6.628643638885793e-05,90523.15770336991,-6.000457534822985,15.253275136793208,8.468620564011871e-07,2.1230063628723375e-05,2.207692568512456e-05,0.07666062748460481,1.921812397915504,1.9984730254001086,7.777499194236233e-16,90522.5735636228,6.452973265291817e-06,-6.000001221995732,7.605212238614989e-05,1.998191771666935,0.0001407541243845234,15.251890532293476,9.078248344351891e-05,0.4999999999931346,4.476511099730811,7.49891600644749e-05,15150.015244579681,3.820696101615889e-05,0.44004580923113135,,
R75,0,,0,0,,,0,0,0.000976697436740225,6144.257805019073,-6.001080848833251,,0.0001499881872562976,0.0,0.0001499881872562976,0.9215660902101688,0.0,0.9215660902101688,1.4800307512484318e-16,6144.239317074085,3.0089884253126087e-06,-5.99999903073023,0.0001803030462972366,0.9215608729888913,5.661287745928334e-06,,,0.5000000000000061,9.281973044334817,7.49999999999977e-05,6839.00973241154,7.091664998025675e-06,0.47235301729370105,,
F75S,1,10852.303963476139,0.0003068058403015293,3.329550236721914,0.7690291265087289,0.2309708734912711,0.0003027558826067045,2.5430021133404636e-06,0.0004008751257779059,16888.868677863018,-6.001307880642039,5.113204342795145,2.5430021133404636e-06,6.992779066029126e-05,7.247079277363172e-05,0.042948428739735214,1.1810012733947552,1.2239497021344903,7.256657836112045e-16,16893.858340116807,-0.00029535362220600714,-5.999999145255563,0.00021812259548581459,1.2241263938257418,-0.00014434105182503654,5.113920324181231,-0.00014000636316158221,0.49999999998970773,5.531239355966221,7.499999999995261e-05,120453.8041228496,2.3537337773622035e-05,0.46328150892567305,0.46307058666692985,-0.0002109222587431958
F75L,1,10731.024577367358,0.00030412627117625554,3.263586490615488,0.7654556786402518,0.2345443213597482,0.0003009971612330459,1.924822343768804e-06,0.00039027417956225067,17362.2703441832,-6.002202827702058,5.225994086159843,1.924822343768804e-06,7.059717491261547e-05,7.252199725638428e-05,0.03341928589703831,1.2257272363684177,1.2591465222654563,5.290359803214847e-16,17367.293806991314,-0.0002892484496398451,-6.000870786923573,0.00022197458098704992,1.2588205424151067,0.0002589565703496888,5.225097402256351,0.00017161094510975694,0.5000466277265493,7.466666666666418,7.499737786299414e-05,120401.39067666279,2.0458253074846757e-05,0.4622722320585856,0.4620876745532049,-0.00018455750538071136
