candidate,condition,n,mean_error_v,sd_error_v,rms_error_v,mae_v,mean_square_v2,spread_square_v2,mean_square_fraction_of_mse,rms_identity_residual_v2,center_only_pass,five_checks_pass,below_center_band,above_center_band,gain_fail,band_fail,bandwidth_fail,current_fail
A75,nominal,521,-0.0025143722057935493,0.07552690030649926,0.07549626454851573,0.06041915200964781,6.322067589267119e-06,0.005693363893190205,0.0011091957754813795,8.673617379884035e-19,136,136,200,185,0,0,0,0
A75,supply_097,521,-0.06234336433715762,0.07360865529047633,0.096408140366409,0.07856413007516612,0.0038866950768755766,0.0054078344520336425,0.41817017900546793,2.6020852139652106e-18,94,94,364,63,1,1,0,0
R75,nominal,521,-0.0008765820099038353,0.008856108943889208,0.00889092362696392,0.007160858212973462,7.683960200870477e-07,7.828012692041822e-05,0.009720561390696318,0.0,521,521,0,0,0,0,0,0
R75,supply_097,521,-0.028517649298693413,0.00884577014576644,0.0298555486227936,0.028517649298693413,0.0008132563215232689,7.809746204472374e-05,0.9123833168328425,2.0328790734103208e-19,180,180,341,0,0,0,0,0
F75S,nominal,521,-0.0015358247320687096,0.032545147414198165,0.03255015192076372,0.025715522632369606,2.3587576076339235e-06,0.0010571536324571642,0.002226267129815882,0.0,290,290,123,108,0,0,0,0
F75S,supply_097,521,-0.03845569242375134,0.03225212482187045,0.05017014342278911,0.0416852204043144,0.0014788402797901662,0.0010382030112730636,0.5875307290267091,-6.505213034913027e-19,165,165,342,14,0,0,0,0
F75L,nominal,521,-0.0015499102280628735,0.02429861505574676,0.024324713079711974,0.019275295401056186,2.4022217150539087e-06,0.0005892894446952569,0.004059921495308131,0.0,369,369,87,65,0,0,0,0
F75L,supply_097,521,-0.03950355817836637,0.024065648288744936,0.046244728495337735,0.04040301680172916,0.0015605311087515765,0.000578043804855926,0.7297060761454274,-5.421010862427522e-19,147,147,374,0,0,0,0,0
