frequency_hz,branch_transfer_real_ohm,branch_transfer_imag_ohm
1000.0,-77376.00520103623,8.739492027305548
1029.2005271944283,-77376.00514374026,8.994689795377587
1059.2537251772892,-77376.0050830107,9.25733947223729
1090.1844923851281,-77376.0050186796,9.527658657487889
1122.018454301964,-77376.00495054058,9.805871304757913
1154.781984689459,-77376.00487838771,10.09220790723057
1188.5022274370194,-77376.00480193105,10.386905688627179
1223.2071190499325,-77376.00472095807,10.69020879969269
1258.9254117941682,-77376.0046351809,11.002368520514594
1295.6866975170205,-77376.00454431504,11.323643468677915
1333.5214321633252,-77376.0044480904,11.65429981351867
1372.4609610075634,-77376.00434612471,11.994611496681827
1412.5375446227558,-77376.0042381803,12.34486045898511
1453.7843856076636,-77376.00412376341,12.705336874142416
1496.2356560944354,-77376.00400261336,13.07633938898719
1539.926526059494,-77376.00387427391,13.458175371050864
1584.8931924611159,-77376.00373832196,13.851161163123692
1631.1729092278408,-77376.00359432166,14.255622345352144
1678.804018122563,-77376.00344180621,14.67189400497989
1727.8259805078665,-77376.00328021776,15.100321013985013
1778.279410038926,-77376.00310908025,15.5412583147206
1830.2061063110596,-77376.00292778813,15.995071214066854
1883.6490894898043,-77376.00273577825,16.46213568599906
1938.6526359522113,-77376.00253237321,16.942838683144373
1995.2623149688839,-77376.00231693848,17.437578457283514
2053.5250264571505,-77376.0020886973,17.946764889382607
2113.4890398366515,-77376.00184694247,18.470819829057646
2175.2040340195276,-77376.0015908498,19.01017744415928
2238.721138568345,-77376.00131962055,19.565284580388994
2304.092976055851,-77376.0010323216,20.136601131584683
2371.373705661661,-77376.00072795803,20.724600420688542
2440.6190680419863,-77376.00040559995,21.329769591798136
2511.8864315095866,-77376.0000641116,21.95261001391299
2585.2348395621975,-77375.9997024137,22.59363769613611
2660.725059798817,-77375.99931926612,23.253383715306693
2738.4196342643686,-77375.9989134331,23.93239465586658
2818.3829312644616,-77375.99848350525,24.63123306280553
2900.681198693162,-77375.99802815921,25.35047790751997
2985.3826189179686,-77375.99754580014,26.090725067724748
3072.557365267456,-77375.99703488796,26.852587820870305
3162.277660168389,-77375.99649368739,27.636697352403154
3254.617834980469,-77375.99592040069,28.443703278571924
3349.6543915782872,-77375.99531314835,29.27427418461332
3447.466065731505,-77375.99466996294,30.129098178643318
3548.133892335766,-77375.99398863003,31.00888346186011
3651.741272548389,-77375.99326688526,31.914358915079426
3758.3740428844544,-77375.99250243098,32.84627470254333
3868.120546330535,-77375.99169267797,33.80540289363179
3981.0717055349864,-77375.99083492391,34.79253810231009
4097.32109813543,-77375.98992632487,35.80849814544031
4216.965034285838,-77375.98896391946,36.8541247202578
4340.102636447455,-77375.98794448753,37.93028410180983
4466.835921509648,-77375.98686466663,39.037867860478165
4597.2698853087395,-77375.98572080638,40.1777936007435
4731.512589614823,-77375.98450919073,41.35100572108941
4869.67525165865,-77375.9832258056,42.558476196626515
5011.872336272742,-77375.98186636466,43.8012053842687
5158.221650723077,-77375.9804263597,45.08022285137688
5308.8444423099045,-77375.97890105398,46.39658822866198
5463.865498818564,-77375.97728536259,47.75139208814555
5623.413251903514,-77375.9755739219,49.14575684649731
5787.61988349123,-77375.97376107363,50.58083769485548
5956.62143529013,-77375.97184081795,52.0578235558382
6130.557921498234,-77375.96980676331,53.57793806850586
6309.57344480196,-77375.96765220904,55.14244060186479
6493.816315762142,-77375.96536995025,56.75262729840277
6683.439175686176,-77375.96295250316,58.409832147398255
6878.599123088107,-77375.96039179157,60.11542809046239
7079.457843841412,-77375.95767933513,61.87082815850168
7286.181745132311,-77375.95480617296,63.677486642315515
7498.942093324594,-77375.95176275379,65.53690029743913
7717.915155850161,-77375.94853904002,67.45060958374867
7943.282347242854,-77375.94512426326,69.4201999419271
8175.23037943654,-77375.94150715269,71.44730310624666
8413.951416451991,-77375.93767574614,73.53359845649727
8659.643233600696,-77375.93361730313,75.68081440919106
8912.5093813375,-77375.92931836139,77.89072984904946
9172.759353897844,-77375.92476471672,80.16517560242048
9440.608762859283,-77375.91994121633,82.50603595414084
9716.279515771113,-77375.91483192661,84.91525020777435
10000.000000000055,-77375.90941992169,87.3948142922859
10292.00527194434,-77375.90368719856,89.94678241531778
10592.537251772948,-77375.89761481514,92.57326876410389
10901.844923851339,-77375.8911826185,95.27644925709316
11220.184543019699,-77375.88436927754,98.05856334587682
11547.819846894648,-77375.87715221949,100.9219158699303
11885.022274370254,-77375.86950756791,103.86887896545693
12232.071190499388,-77375.86140988706,106.90189403052209
12589.254117941748,-77375.8528324054,110.0234737460228
12956.866975170273,-77375.84374668825,113.23620415731537
13335.21432163332,-77375.83412259484,116.54274681568003
13724.609610075704,-77375.82392828625,119.94584098203347
14125.37544622763,-77375.81312987168,123.44830589617652
14537.843856076708,-77375.80169163746,127.05304311013782
14962.356560944427,-77375.789575665,130.7630388917406
15399.265260595015,-77375.77674174265,134.58136669721344
15848.931924611234,-77375.76314741616,138.51118971528453
16311.729092278485,-77375.74874756353,142.55576348734303
16788.040181225708,-77375.73349447588,146.71843860192394
17278.259805078742,-77375.71733755441,151.0026634692982
17782.79410038934,-77375.70022330606,155.4119871756202
18302.061063110676,-77375.6820949916,159.95006242177251
18836.490894898125,-77375.66289251449,164.62064854676015
19386.5263595222,-77375.64255220522,169.42761463963794
19952.623149688927,-77375.62100667726,174.37494274170183
20535.250264571598,-77375.59818454718,179.4667311425982
21134.89039836661,-77375.57401008432,184.70719777280937
21752.040340195374,-77375.54840328204,190.10068369260205
22387.21138568355,-77375.52127908565,195.65165668714417
23040.929760558614,-77375.49254781746,201.3647149594835
23713.737056616716,-77375.46211408157,207.24459093971257
24406.19068041997,-77375.42987705092,213.29615519684532
25118.864315095976,-77375.3957298997,219.52442046947303
25852.348395622088,-77375.35955944589,225.9345458123864
26607.250597988284,-77375.32124575392,232.5318408639735
27384.19634264381,-77375.28066192649,239.32177023627892
28183.829312644742,-77375.23767335463,246.3099580363296
29006.81198693175,-77375.1921376279,253.5021925141058
29853.826189179817,-77375.14390379784,260.9044308500465
30725.573652674695,-77375.0928119766,268.52280407907165
31622.77660168403,-77375.03869289477,276.36362215763467
32546.17834980483,-77374.98136707161,284.4333791808464
33496.54391578302,-77374.92064461779,292.73875874560207
34474.6606573152,-77374.85632418562,301.2866394761887
35481.33892335782,-77374.78819266259,310.0841007035474
36517.41272548406,-77374.7160242454,319.1384283142774
37583.740428844714,-77374.63957972199,328.45712076705684
38681.20546330552,-77374.55860574875,338.0478952829633
