case,rload_ohm,output_v,error_v,load_current_a,tail_current_a,source_p2_a,sink_n4_a,supply_current_a,load_power_w,local_gain,native_gain_real,output_transimpedance_ohm,native_bandwidth_hz
known1Mohm,1000000.0,0.29845625823310806,-0.0015437417668919817,2.9845625823310804e-07,1.4001482796655536e-05,7.124364897109405e-06,6.828391068541934e-06,1.6011469378805154e-05,8.907613807850768e-08,0.9834291960522861,0.9833173168832835,7490.860958430078,4241447.8066823725
observed100kohm,100000.0,0.27941244379189345,-0.020587556208106594,2.7941244379189347e-06,1.4018662652620711e-05,8.381612644222381e-06,5.590368914461989e-06,1.6028649041361315e-05,7.807131374575801e-07,0.9183372470986962,0.9182300896684241,7217.904463232745,4401678.325104952
