case,ramp_s,supply_peak_a,ramp_end_output_v,passive_ramp_end_output_v,passive_ramp_end_supply_a,post_ramp_arrival_upper_s,total_arrival_upper_s,local_tail_estimate_s,capacitor_charge_c,supply_charge_c,supply_energy_j,capacitor_energy_change_j
R75-input_first-fast-8p,1e-08,0.00014098066621613363,0.06005486968630864,0.08779678511885862,0.00013681970660938932,3.0047073978173197e-07,3.10470739781732e-07,2.9918357490359056e-07,3.999972145626966e-12,1.5316063089850375e-10,1.5291941349086078e-10,9.999999999525936e-13
R75-input_first-slow-8p,1e-06,8.179679121509286e-05,0.4546451109825088,0.8906171551345027,1.6406134618312762e-05,1.885012641067502e-07,1.1885012641067501e-06,1.8749905482496622e-07,3.9999823453734805e-12,1.2996758521748162e-10,1.0976369061737088e-10,9.999999996870826e-13
