candidate,input_v_per_v,injection_ohm,supply_v_per_v,bias_gate_drop_v_per_v
A37,-5.999999396008038,90522.54545375283,1.998198356916947,15.251364294708857
R37,-6.000000030764729,11562.770969741898,0.8671420801573682,
AL37W,-5.999999752318574,92603.43006542993,1.9817563894837242,15.180643076086463
AR37,-5.999999372240383,90412.50538808221,2.0238853650595967,15.391040515295717
AI37,-5.999999493877805,90621.04604915522,2.0003608667511497,15.26792352212175
AB37,-5.999999521914545,91054.1226078032,2.007558923478703,15.310346649987926
