candidate,out_v,gain,bandwidth_hz,current_a,power_w,area_um2,internal_resistance_ohm,input_noise_v,sine_thd_fraction,source_v,gate_v,input_drain_a,reference_drain_a,load_drain_a
A37,0.4999999999984522,-5.999999999994579,1747127.5867924634,3.7499999999926617e-05,3.7499788978188135e-05,3.0365110997308102,27446.667341162265,4.1054140406846045e-05,0.004602534465583095,0.052175122769918,0.4499996163241119,7.5050422790175555e-06,2.4989171784636277e-05,1.2505042279002053e-05
R37,0.5000000000000062,-5.999999999999938,13639741.688986896,3.749999999999978e-05,3.7498488317891974e-05,3.5366640163051644,13416.912462309358,9.54917170427317e-06,0.013861450178289571,0.0026845581080928924,0.44999725148707675,3.2497251487076414e-05,0,0
AL37W,0.5000000000071417,-5.999999999994631,1706453.6162567951,3.7500000000255604e-05,3.749979901638584e-05,3.700000000000021,27022.827403789106,3.7630374005625465e-05,0.0047302084686435715,0.04900774212905878,0.44999963457478226,7.1161496612260434e-06,2.537465255925358e-05,1.2116149661297451e-05
AR37,0.4999999999737336,-5.999999999909248,1748496.7682591672,3.7500000000402256e-05,3.7499783925375834e-05,3.7000000004168814,27738.730861145956,4.055816530692791e-05,0.004403290566489198,0.05492416715748322,0.44999960713631565,7.710963930472479e-06,2.478119718386281e-05,1.2710963930209854e-05
AI37,0.5000000000146831,-5.999999999981764,1743749.7852016638,3.750000000050889e-05,3.749971218749087e-05,3.7,27470.40772894818,4.083483775604229e-05,0.004608883209810668,0.05235329262844756,0.44999947670360363,7.504995878232764e-06,2.4989078583695894e-05,1.25049958783796e-05
AB37,0.5000000000060179,-5.999999999994434,1735715.048930116,3.750000000026463e-05,3.7499749046165346e-05,3.6999999999996867,27497.228116085877,3.9731142166843906e-05,0.004540272399759477,0.052811578638622285,0.4499995437198195,7.503700012452391e-06,2.4989251774503218e-05,1.250370001251254e-05
