candidate,frequency_hz,gain_real,gain_imag
A37,1000.0,-5.999999999994579,0.0034361157899387125
A37,1029.2005271944283,-5.9999998834645805,0.0035364521138636744
A37,1059.2537251772892,-5.999999760029753,0.003639718305153524
A37,1090.1844923851281,-5.999999629280959,0.0037459999169216418
A37,1122.018454301964,-5.999999490784815,0.003855385000427076
A37,1154.781984689459,-5.999999344082267,0.003967964178017162
A37,1188.5022274370194,-5.999999188687055,0.0040838307181997185
A37,1223.2071190499325,-5.999999024084102,0.0042030806129069315
A37,1258.9254117941682,-5.999998849727824,0.004325812657014894
A37,1295.6866975170205,-5.999998665040301,0.004452128530184626
A37,1333.5214321633252,-5.999998469409359,0.004582132881092325
A37,1372.4609610075634,-5.999998262186576,0.0047159334141185765
A37,1412.5375446227558,-5.999998042685086,0.0048536409785681755
A37,1453.7843856076636,-5.999997810177331,0.004995369660494555
A37,1496.2356560944354,-5.9999975638926495,0.005141236877204661
A37,1539.926526059494,-5.9999973030146965,0.005291363474522521
A37,1584.8931924611159,-5.999997026678785,0.005445873826892061
A37,1631.1729092278408,-5.9999967339689615,0.005604895940401816
A37,1678.804018122563,-5.9999964239150305,0.005768561558816963
A37,1727.8259805078665,-5.999996095489278,0.0059370062727061995
A37,1778.279410038926,-5.999995747603117,0.0061103696317538776
A37,1830.2061063110596,-5.999995379103447,0.0062887952603501865
A37,1883.6490894898043,-5.99999498876885,0.006472430976555013
A37,1938.6526359522113,-5.999994575305536,0.00666142891453381
A37,1995.2623149688839,-5.999994137343031,0.00685594565056671
A37,2053.5250264571505,-5.9999936734296915,0.007056142332735153
A37,2113.4890398366515,-5.999993182027835,0.007262184814392992
A37,2175.2040340195276,-5.999992661508678,0.007474243791532609
A37,2238.721138568345,-5.999992110146919,0.007692494944159417
A37,2304.092976055851,-5.999991526115035,0.007917119081791624
A37,2371.373705661661,-5.999990907477204,0.008148302293205364
A37,2440.6190680419863,-5.999990252182914,0.008386236100548962
A37,2511.8864315095866,-5.999989558060168,0.00863111761795355
A37,2585.2348395621975,-5.999988822808227,0.00888314971477092
A37,2660.725059798817,-5.999988043990064,0.009142541183573494
A37,2738.4196342643686,-5.9999872190242485,0.00940950691305495
A37,2818.3829312644616,-5.9999863451763815,0.009684268065974173
A37,2900.681198693162,-5.9999854195500575,0.009967052262289245
A37,2985.3826189179686,-5.999984439077222,0.010258093767632656
A37,3072.557365267456,-5.999983400508077,0.010557633687283016
A37,3162.277660168389,-5.999982300400233,0.010865920165793
A37,3254.617834980469,-5.999981135107341,0.011183208592438286
A37,3349.6543915782872,-5.999979900766993,0.01150976181265641
A37,3447.466065731505,-5.999978593287945,0.01184585034564989
A37,3548.133892335766,-5.9999772083364995,0.012191752608332428
A37,3651.741272548389,-5.999975741322228,0.012547755145802714
A37,3758.3740428844544,-5.999974187382675,0.012914152868535152
A37,3868.120546330535,-5.999972541367292,0.013291249296482628
A37,3981.0717055349864,-5.999970797820353,0.01367935681029175
A37,4097.32109813543,-5.999968950962869,0.014078796909837016
A37,4216.965034285838,-5.999966994673436,0.014489900480285919
A37,4340.102636447455,-5.999964922467957,0.01491300806591345
A37,4466.835921509648,-5.999962727478146,0.01534847015189035
A37,4597.2698853087395,-5.99996040242876,0.01579664745427603
