candidate,index,condition,role,numerical_usable,terminal_supported,out_v,error_v,gain,band_min_magnitude,band_max_magnitude,bandwidth_hz,current_a,power_w,dc_ac_current_pass,sine_assessed,sine_thd_fraction,sine_gain,sine_min_v,sine_max_v,sine_stationary,sine_all_assessed_pass,predicted_out_v,realization_id,attempt_sha256
A37,106,nominal,CONFIRMATION,True,True,0.5643332785477926,0.06433327854779258,-6.019012079793426,6.00943545312486,6.019013041057531,1770382.996430669,3.818645024255144e-05,3.818623269644409e-05,False,False,,,,,,,0.5627904897881565,2f226fffeaff23302384170516f4f6c65d4521b37d2fea3be1c87981dd1f3237,753bf128515528945fac3292ebdbeb247299cb1d65091b3c73385b7f2b83c2d4
A37,106,supply_097,CONFIRMATION,True,True,0.5013658205406296,0.0013658205406296142,-6.061773344711052,6.051975846018054,6.061774328219404,1756445.806334325,3.6269011528933625e-05,3.5180732663523735e-05,True,False,,,,,,,0.502844539080648,2f226fffeaff23302384170516f4f6c65d4521b37d2fea3be1c87981dd1f3237,8c8e4c6bfc81238440aaf5faf70456e92918726ba0640405f7ac99cea1b01ab0
A37,107,nominal,CONFIRMATION,True,True,0.4933664159300107,-0.006633584069989318,-6.017764527557749,6.007924136313325,6.017765515415098,1746220.451678659,3.768646362191688e-05,3.768624790930026e-05,True,False,,,,,,,0.49383092509524373,623bc869e212ffe242c37cc7e850afeb728ff8024071d323b671ce3dfa8cfd48,41df4449bea53a032c6f666c40d70ff30885641c42c94b8d76acb65516710289
A37,107,supply_097,CONFIRMATION,True,True,0.43379812010037005,-0.06620187989962995,-6.040984998828886,6.031013304626124,6.040985999930461,1738034.427337723,3.58011057657025e-05,3.472686772593911e-05,False,False,,,,,,,0.43388497438773527,623bc869e212ffe242c37cc7e850afeb728ff8024071d323b671ce3dfa8cfd48,929a3cd528a65ecd3e59889a651208826c4266cd6d959614795e102f13973fb7
A37,108,nominal,CONFIRMATION,True,True,0.4683278696026585,-0.031672130397341514,-6.017765368565397,6.00785654445508,6.017766363319925,1740182.3027031142,3.730873014948264e-05,3.7308518859291086e-05,False,False,,,,,,,0.46967459234168185,520fc7532c88514144f3e82f9b056efe3d167fb09cbdd1b3417658019ee65019,375cf39805a416e2202d1c306b1f0e5b1faa5e7e6e7467030c31e5d21615e6f5
A37,108,supply_097,CONFIRMATION,True,True,0.40961355203017746,-0.09038644796982254,-6.036067894097487,6.026050592773355,6.036068899800753,1733378.6738294929,3.543186421868856e-05,3.4368707753322685e-05,False,False,,,,,,,0.4097286416341734,520fc7532c88514144f3e82f9b056efe3d167fb09cbdd1b3417658019ee65019,243da031070c034845bfb1db1ed13c96367e02123848a94479579591c9e8e158
A37,109,nominal,CONFIRMATION,True,True,0.4301772365761515,-0.06982276342384852,-6.022751975730501,6.012755447361327,6.022752979337286,1733264.0686975343,3.6786123212888646e-05,3.678591208497293e-05,False,False,,,,,,,0.43075988424540884,1001305e39e1d053cfcfe5d3d3d6625870ae990c8c57af3ef5a8d138b8750551,31a65e9e6a27e3589c5eda6eff6bcb6ec3c1878472ef62ccebf8536427ed99cf
A37,109,supply_097,CONFIRMATION,True,True,0.3724907624010187,-0.1275092375989813,-6.033542750434609,6.023472793195191,6.033543761464085,1728497.0535446405,3.491921406315106e-05,3.387143664554148e-05,False,False,,,,,,,0.3708139335379004,1001305e39e1d053cfcfe5d3d3d6625870ae990c8c57af3ef5a8d138b8750551,c3a91ad296e6301ed1d56b914001df036b21be102b136732c1fa79f6dc9426fa
A37,110,nominal,CONFIRMATION,True,True,0.5013566099277563,0.0013566099277563248,-6.112166833978238,6.10224575210036,6.112167829896522,1752701.573954745,3.7761205147160456e-05,3.776098001182903e-05,True,False,,,,,,,0.5030430986930757,36da67886584faa56b891b3239cf90e9ecee215a5d909e86fed9581f2a99c22a,7866b25757e18232b68ea710e5900376a8fb9a80272fe495ae2466da9f5ed8d6
A37,110,supply_097,CONFIRMATION,True,True,0.43972119549937705,-0.06027880450062295,-6.138799463287108,6.128731188930933,6.138800474047644,1743619.7551442564,3.585684171709639e-05,3.4780922499374343e-05,False,False,,,,,,,0.44309714798556726,36da67886584faa56b891b3239cf90e9ecee215a5d909e86fed9581f2a99c22a,389f054e317d729e1cbfe2bba585315ac7643fa9b6a928c68c1f246f73b66496
A37,111,nominal,CONFIRMATION,True,True,0.4573592533439994,-0.042640746656000594,-6.045062398395987,6.035096886270725,6.045063398856753,1739158.2536953369,3.705096806563444e-05,3.7050750712673746e-05,False,False,,,,,,,0.45736186509004395,55ec0fa7885c2d5390ecb970d344a71a619caeced5e7767e417d14a08a0721e4,7938e05198e654df58a76df6f566ead6014c0a94563986170cfe5d47405a8030
A37,111,supply_097,CONFIRMATION,True,True,0.3983919201349411,-0.10160807986505888,-6.061542384722235,6.051476804853157,6.061543395286118,1732863.4147789238,3.517213915299312e-05,3.4116768589054526e-05,False,False,,,,,,,0.3974159143825355,55ec0fa7885c2d5390ecb970d344a71a619caeced5e7767e417d14a08a0721e4,7142fff58bf9df4d12963c6dbfa33cf604bde0035a80b407c186a21bee6ff6bf
A37,112,nominal,CONFIRMATION,True,True,0.5860363796315184,0.08603637963151844,-5.943592053488335,5.934204617499824,5.943592995745123,1776950.4823785832,3.850179321357778e-05,3.850158131589691e-05,False,False,,,,,,,0.5849188993671229,839b753de0fbb9a24c7117e97091dbb52287773889005d2c23c82b42a0be7a39,728e30053b5fa697580c752314208399b2ba7905837effff49c4de558f9532c5
