candidate,role,variance_v2
A37,input,0.00041602042173863264
A37,load,0.0041877311899912945
A37,reference,0.0015831635455496526
R37,input,0.00022915062732012327
AL37W,input,0.00047432727843911495
AL37W,load,0.0018215848901831657
AL37W,reference,0.001565698051074892
AR37,input,0.00037816530733734624
AR37,load,0.004265895380398152
AR37,reference,0.0011531451711589247
AI37,input,0.0003400238068087506
AI37,load,0.004196833045008921
AI37,reference,0.001586604142066527
AB37,input,0.00036689329367167023
AB37,load,0.003645161407352121
AB37,reference,0.0013775757556087217
